Hour,Minute,Second,Mean Height (m),Mean Duration (ns),Mean Positive Current (A),Mean Negative Current (A),Number of Flashes
14,1,7,5628,345849183,5467,-6882,6
14,2,10,8167,343448064,6288,-8697,11
14,3,12,9894,231056000,4075,-5428,17
14,4,13,8520,206705332,5201,-4483,19
14,5,18,6837,272801556,4780,-6575,18
14,6,22,7674,464247200,12001,-4170,13
14,7,24,8256,421727786,6802,-11643,7
14,8,28,9690,202757720,6435,-3248,10
14,9,44,7605,258700909,4968,-13790,11
14,10,46,8018,281956409,4048,-13844,11
14,11,55,9789,223131650,4447,-9002,18
14,12,57,9443,190386750,7201,-6243,16
14,13,58,10022,318192730,5759,-7488,20
14,15,0,5540,309783115,3935,-15593,26
14,16,4,3628,379655716,10143,-16883,19
14,17,8,7518,289644820,4405,-10888,20
14,18,12,7672,334878683,5870,-11774,23
14,19,15,6098,417149443,7871,-8498,21
14,20,17,9316,351651788,7504,-5958,26
14,21,19,9038,422666677,6391,-7207,31
14,22,20,7929,416562203,7813,-8439,32
14,23,21,8590,339336834,5956,-7779,35
14,24,22,7753,395143332,4638,-7900,31
14,25,25,6906,390376030,5368,-8744,27
14,26,26,9822,398079709,6232,-9109,33
14,27,27,9327,390589490,5138,-9010,41
14,28,29,7345,451474717,7290,-11055,41
14,29,30,8068,417876731,6395,-8196,39
14,30,31,8582,496666581,5192,-13967,37
14,31,32,8219,364557216,5834,-8020,55
14,32,34,7877,325864040,5939,-4818,48
14,33,35,8440,475124810,6573,-7494,48
14,34,37,8924,456249246,6357,-12872,52
14,35,38,9469,465732540,5709,-9343,48
14,36,39,9728,653042668,9571,-9198,40
14,37,42,8127,583430539,6923,-10521,56
14,38,43,7778,540882930,8831,-9719,61
14,39,44,8574,431056898,6663,-9111,61
14,40,45,6736,451486282,7105,-5745,66
14,41,46,7305,472771414,5885,-8523,73
14,42,48,9180,396525685,6381,-6636,87
14,43,49,9255,448933911,8655,-6235,94
14,44,50,8282,445971664,6654,-7216,98
14,45,51,7011,508973176,12657,-7292,100
14,46,52,7700,504972966,8393,-6312,106
14,47,53,7761,600768730,10602,-7129,102
14,48,54,7012,457799067,9526,-8940,112
14,49,55,7128,450729526,9612,-9819,122
14,50,56,7104,517914363,9071,-8408,122
14,51,57,7186,564123555,10001,-8947,116
14,52,59,7568,581423085,12014,-8031,116
14,54,0,7703,589713273,12856,-7491,117
14,55,1,6253,696300689,15195,-8129,94
14,56,2,6797,661416022,13322,-6500,109
14,57,3,7337,553959856,17587,-5362,121
14,58,4,5763,632229498,12160,-5869,111
14,59,5,7010,605299477,14986,-6192,120
15,0,6,7656,505318613,12499,-6916,140
15,1,7,6911,642240568,13364,-5887,134
15,2,8,7331,524525570,12351,-5959,138
15,3,9,7614,563526395,17475,-6416,143
15,4,10,8211,636820136,15721,-5851,138
15,5,11,7570,701702334,15639,-5565,132
15,6,12,7381,606184550,11536,-5726,155
15,7,13,6733,638791527,10344,-5962,143
15,8,15,7381,573842065,14100,-6554,152
15,9,16,7584,729215961,12443,-5860,145
15,10,17,7414,668090930,10985,-6393,154
15,11,19,7776,609569746,11886,-6496,155
15,12,20,7682,587254024,10800,-6468,165
15,13,21,7466,627752074,10488,-6559,164
15,14,22,6273,632871251,10637,-6660,150
15,15,23,7331,496063896,13804,-6431,171
15,16,24,7597,474664575,18894,-6731,168
15,17,25,6520,495431066,15298,-6896,160
15,18,27,6047,537998416,17740,-7672,150
15,19,28,7461,643136661,16076,-6604,153
15,20,29,7031,612873601,17155,-7480,152
15,21,30,7644,482453078,16841,-6914,167
15,22,31,6914,510459987,14582,-7276,174
15,23,32,6966,644990965,14932,-6692,142
15,24,33,7353,708100632,13390,-7740,148
15,25,34,7535,693573990,11267,-8076,143
15,26,35,6757,663986870,15033,-6969,147
15,27,36,6875,666728473,13041,-7311,144
15,28,37,7328,593452548,10737,-7044,164
15,29,38,7109,517679148,10062,-7260,181
15,30,39,7772,503127318,8639,-6089,187
15,31,40,7368,573147571,9450,-6594,174
15,32,41,7271,651762858,8208,-6277,178
15,33,42,8024,561480096,9139,-6577,190
15,34,43,7213,548965714,11114,-6608,189
15,35,44,7604,572049696,11350,-6113,181
15,36,45,7584,638562790,11072,-6801,182
15,37,46,7259,575330411,15438,-5683,189
15,38,47,7806,608755239,14752,-5931,188
15,39,48,7850,588744169,11968,-6143,182
15,40,49,7489,561660659,13269,-6363,194
15,41,50,7414,548473440,10094,-6109,186
15,42,51,8269,567632834,9807,-5699,184
15,43,52,7688,622662019,14248,-6891,178
15,44,53,7517,567297590,12004,-6029,185
15,45,54,7676,531147230,12901,-6090,186
15,46,55,7715,487964834,12834,-6237,199
15,47,56,7724,547865861,11278,-5878,181
15,48,57,7968,556210260,12186,-6110,191
15,49,58,8502,509949560,11107,-6747,206
15,50,59,7216,599170181,12921,-6313,172
15,52,1,8048,562874452,13394,-5201,193
15,53,2,7689,488204514,10323,-6580,210
15,54,3,8216,560809168,11606,-6019,194
15,55,4,7754,486769179,12217,-6738,200
15,56,5,8328,481944352,14893,-6713,210
15,57,6,8074,448471919,9964,-6138,215
15,58,7,8194,468145374,11234,-6887,198
15,59,8,8244,446198623,14621,-6436,205
16,0,9,8345,489071382,13984,-6088,201
16,1,10,7697,488998134,12210,-7610,191
16,2,11,7890,516095529,14029,-6984,218
16,3,12,7484,603636294,13182,-7648,197
16,4,13,7804,575364053,13450,-6956,199
16,5,14,8437,634260643,15733,-7107,176
16,6,15,8548,565152446,14160,-6489,202
16,7,16,7529,503093635,14648,-6646,229
16,8,17,7711,543615996,10436,-7770,226
16,9,18,7646,480268052,12591,-6924,240
16,10,19,7293,485170979,11118,-6706,229
16,11,20,8572,479127746,11954,-6952,226
16,12,21,7576,550330613,13026,-6557,206
16,13,22,7245,460949690,10151,-6278,230
16,14,23,7359,523097850,14570,-6087,205
16,15,24,6241,544690278,15399,-7000,200
16,16,25,7567,480188278,14454,-7181,207
16,17,26,8086,504998780,14403,-6435,191
16,18,27,7925,582366634,11272,-5988,187
16,19,28,7372,586709536,12394,-6533,184
16,20,29,7809,557870891,13065,-7137,186
16,21,30,7288,596318752,13343,-7029,169
16,22,31,7398,541236314,16170,-6602,180
16,23,32,6637,581718203,11370,-7548,172
16,24,33,7333,529122408,13576,-8558,178
16,25,34,7815,506263658,10519,-7848,190
16,26,35,8074,547402008,15892,-7075,172
16,27,36,8165,559404356,12952,-7357,169
16,28,37,8612,465567069,12593,-6645,177
16,29,38,6944,418611915,11493,-7296,174
16,30,39,8011,424398686,11455,-7221,163
16,31,41,8199,484624317,16066,-7015,153
16,32,42,7701,504401532,12072,-5648,154
16,33,43,7052,460970599,15630,-6412,170
16,34,44,7270,505662798,12982,-6612,165
16,35,45,6479,582147418,11610,-6854,159
16,36,46,8462,526911449,13771,-5764,184
16,37,47,8363,514804777,15293,-6047,190
16,38,48,8652,497495434,12445,-6760,207
16,39,49,8412,531629228,14105,-6078,203
16,40,50,7850,456089509,13629,-6378,224
16,41,51,8244,452429432,12560,-5877,211
16,42,52,8002,499169550,13113,-5423,213
16,43,53,7857,626090369,10267,-6852,189
16,44,54,7624,581081726,10893,-6133,207
16,45,55,8078,616099785,10389,-6765,187
16,46,56,8079,551337426,11052,-6035,200
16,47,57,7575,521374350,10984,-6636,199
16,48,58,9104,415064853,9901,-5873,227
16,49,59,8094,421458517,11894,-5615,218
16,51,0,7985,424036766,10685,-5672,195
16,52,1,8225,425501442,8186,-7514,185
16,53,2,8079,432789956,12201,-6693,180
16,54,3,7042,392870698,11863,-5823,189
16,55,4,8115,375796670,12604,-5962,192
16,56,5,9156,337670688,11179,-5614,191
16,57,6,8462,376474918,8872,-6293,173
16,58,7,7734,377379243,10969,-6598,178
16,59,8,8132,394275397,8062,-5962,187
17,0,9,8277,323788476,11486,-5796,198
17,1,10,7365,351377181,11292,-5972,199
17,2,11,8600,321637422,10065,-6166,209
17,3,12,7524,394635363,8437,-6128,200
17,4,13,8143,359466791,12388,-6627,210
17,5,14,7689,404579240,11112,-6489,204
17,6,15,7777,428142913,10225,-5632,201
17,7,16,8347,369107018,10244,-6319,199
17,8,17,8249,325293446,11011,-7215,175
17,9,18,7666,385400276,12262,-5632,175
17,10,19,7843,381264159,8218,-6234,167
17,11,20,7438,335254004,10320,-6095,166
17,12,21,8037,409833197,11852,-7590,126
17,13,22,9103,361022764,8177,-6682,152
17,14,23,8065,387880582,10608,-6457,137
17,15,24,8166,321827101,9629,-6046,162
17,16,25,7719,351151996,4686,-5969,141
17,17,26,7589,388967589,13165,-5671,144
17,18,28,8241,367113859,9732,-6171,155
17,19,29,8729,436063372,10284,-6850,139
17,20,30,7538,370849487,9954,-5964,146
17,21,31,8538,323786411,9439,-5948,158
17,22,32,9241,279512406,6233,-7160,173
17,23,33,8778,328816710,8912,-5492,171
17,24,34,8892,291485720,6630,-6488,180
17,25,35,8208,333375779,9098,-5798,138
17,26,36,8084,349151150,7791,-6874,138
17,27,37,8158,287425152,7483,-6158,148
17,28,39,7863,345301616,8410,-8804,122
17,29,40,8518,359828174,7921,-6119,120
17,30,41,9001,291742786,9195,-5978,112
17,31,42,7472,368672705,8247,-9875,91
17,32,43,8464,339619415,11036,-5759,95
17,33,44,6924,372198503,7656,-8402,86
17,34,45,8293,325226603,9748,-9308,92
17,35,46,8442,336072421,7414,-7386,114
17,36,47,7159,355264057,9597,-8760,92
17,37,48,6901,340394349,8451,-8071,103
17,38,49,7821,375614620,9247,-7729,111
17,39,50,8255,312260535,8709,-6247,112
17,40,51,9080,266636682,7021,-6946,115
17,41,52,9217,282198682,9668,-5586,93
17,42,53,7756,285147787,7441,-7092,103
17,43,54,7483,347301880,6746,-6578,98
17,44,55,8970,367379480,8471,-6198,104
17,45,56,8069,352304271,8746,-5954,105
17,46,57,8169,286437415,9480,-6477,103
17,47,58,7697,307717510,9634,-6816,105
17,48,59,8348,279395164,9377,-6439,101
17,50,0,9119,303464436,7960,-5602,111
17,51,1,9677,342215250,8065,-6818,103
17,52,2,8302,308803155,8539,-7398,121
17,53,3,9491,277181783,6163,-6067,117
17,54,4,8176,297387861,5759,-5672,131
17,55,5,8779,315926991,6799,-6067,129
17,56,6,8583,304992195,6024,-6257,109
17,57,7,8386,339697497,6855,-7003,107
17,58,8,8192,314832663,6476,-5371,109
17,59,9,7785,343945412,8134,-6871,117
18,0,10,9040,426336313,6551,-6021,115
18,1,11,8285,468369615,6904,-5257,107
18,2,12,8307,488711688,6825,-5974,107
18,3,13,8512,405260911,6206,-5094,110
18,4,14,8803,492687989,6080,-8159,117
18,5,16,7485,528745229,7215,-6428,115
18,6,17,9612,496138001,8030,-6808,115
18,7,18,8864,463329414,10749,-6691,123
18,8,19,8308,393066349,8407,-6590,124
18,9,20,8095,360250787,12192,-6129,134
18,10,21,9017,346463030,10761,-5458,132
18,11,22,6919,490378859,12534,-6391,129
18,12,23,7911,449264058,11617,-6978,139
18,13,24,7963,404275666,13192,-5870,140
18,14,25,8238,383570593,10639,-6018,165
18,15,26,8305,393694523,13136,-5755,164
18,16,27,9385,391297792,7179,-5957,171
18,17,28,8211,360628650,7251,-5915,177
18,18,29,8539,451702826,13846,-6019,174
18,19,30,7791,375262610,11803,-6112,189
18,20,31,8718,362929503,10393,-6281,189
18,21,32,7189,387117292,9587,-6824,182
18,22,33,7013,365706507,10462,-6339,191
18,23,34,7258,373621318,9544,-6933,180
18,24,35,7414,353792583,10710,-6531,182
18,25,36,7244,323475538,11417,-6283,197
18,26,37,8477,317255032,10379,-7524,195
18,27,38,8275,268663473,11271,-6580,197
18,28,39,7484,291972621,10681,-6671,175
18,29,40,7093,309620943,8598,-6759,182
18,30,41,8682,226855484,10417,-6381,196
18,31,42,7436,270997300,7950,-5835,194
18,32,43,8086,269377161,10167,-6450,188
18,33,44,8203,261780048,8923,-5126,185
18,34,45,8509,252016217,7530,-5985,179
18,35,46,8028,238493242,9487,-4799,171
18,36,47,8402,257446556,7796,-5643,174
18,37,48,7588,310740931,8872,-6197,161
18,38,49,8627,285947872,7075,-5331,167
18,39,50,8543,272872951,8149,-5818,178
18,40,51,8796,282284959,6824,-5283,185
18,41,52,8684,303192695,9139,-5609,188
18,42,53,8270,338061449,6901,-5733,188
18,43,54,9152,339114489,7674,-5922,205
18,44,55,7966,302955475,9637,-6381,218
18,45,56,7359,305669708,12986,-7016,200
18,46,57,7362,269550583,9580,-6833,214
18,47,58,6694,315515230,14999,-9114,200
18,48,59,7611,336042404,12058,-6344,191
18,50,0,7676,324340923,10721,-6572,183
18,51,1,8634,290824984,10749,-6500,204
18,52,2,7185,301357892,13340,-6516,217
18,53,3,8564,274977042,12270,-6743,237
18,54,4,7614,306161053,15384,-6724,210
18,55,5,7771,294430260,10339,-6706,216
18,56,6,7708,291684550,9761,-6410,242
18,57,7,8005,264147466,9902,-6677,239
18,58,8,7605,296870601,11096,-6706,239
18,59,9,8787,276359208,11022,-6388,239
19,0,10,8668,283600842,8826,-6665,248
19,1,11,7971,297485298,8264,-6256,262
19,2,12,8186,246296650,8884,-7008,256
19,3,13,8798,292660321,7208,-6676,261
19,4,14,7961,280591978,8451,-6029,258
19,5,15,7790,255184862,8043,-6479,266
19,6,16,7034,292183639,8167,-7381,245
19,7,17,8075,342263257,10632,-6720,230
19,8,18,7450,303615276,8835,-6435,246
19,9,19,7675,394520690,9619,-7695,213
19,10,20,8343,321744052,10261,-7738,221
19,11,21,8058,350582661,9740,-6608,218
19,12,22,8486,407002194,9703,-6564,202
19,13,23,7947,407681677,7740,-7574,212
19,14,24,7638,336193044,7918,-7558,220
19,15,25,9078,365195701,7958,-7486,222
19,16,26,8221,339097915,7379,-7483,242
19,17,27,7742,358804652,7117,-8675,221
19,18,28,8144,403928363,7605,-7283,225
19,19,29,8155,460224377,8137,-7173,200
19,20,30,7610,408967861,7475,-7411,206
19,21,31,8024,419231119,8101,-8402,205
19,22,32,8076,443818220,7701,-8647,193
19,23,33,8066,491291289,8870,-8171,197
19,24,34,7976,514644484,7948,-9440,181
19,25,35,8010,550061019,9343,-9331,167
19,26,36,8523,475649698,8112,-9472,199
19,27,37,8123,548128212,8483,-8045,185
19,28,38,7047,504136744,10247,-9266,176
19,29,39,7168,510670175,9494,-9164,188
19,30,41,7264,515410760,9025,-9785,178
19,31,42,6516,617469475,9901,-9285,178
19,32,43,7332,609311889,9220,-9335,167
19,33,44,7485,560106505,9783,-10244,184
19,34,45,7141,651719481,9735,-10406,156
19,35,46,6973,585991724,9525,-10471,178
19,36,47,6996,629381764,9021,-9733,163
19,37,48,7113,652916006,9713,-7965,177
19,38,49,7639,580338516,9259,-8551,182
19,39,50,7608,572835182,9586,-9020,192
19,40,51,7346,554060741,10465,-7530,193
19,41,52,6834,619650835,9919,-7509,191
19,42,53,7038,497255367,9030,-8089,214
19,43,54,6800,550848250,11411,-7862,225
19,44,55,7361,543551218,11921,-7015,211
19,45,56,6902,504922616,13020,-8479,207
19,46,57,7122,513556639,13875,-6935,205
19,47,58,6877,413422699,11488,-7225,232
19,48,59,7576,503173784,11755,-7516,211
19,50,0,7158,457514978,12551,-7532,234
19,51,1,6814,409956083,10198,-6647,251
19,52,2,7042,424162458,10105,-7658,231
19,53,3,8130,361746619,9810,-6331,243
19,54,4,7815,407635259,8960,-6608,260
19,55,5,7223,399254024,9124,-6193,247
19,56,6,7471,383371744,10139,-6371,237
19,57,7,7034,390289585,11300,-7191,245
19,58,8,7490,347681942,10884,-6508,252
19,59,9,7901,418457246,12353,-6003,240